custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,gender_column
RB50392,Washington,unknown,Master,unknown,0,1000.0,1/0/00,Personal Auto,Four-Door Car,2,
QZ44356,Arizona,F,Bachelor,697953.59,0,94.0,1/0/00,Personal Auto,Four-Door Car,1131,F
AI49188,Nevada,F,Bachelor,1288743.17,48767,108.0,1/0/00,Personal Auto,Two-Door Car,566,F
WW63253,California,M,Bachelor,764586.18,0,106.0,1/0/00,Corporate Auto,SUV,529,M
GA49547,Washington,M,High School or Below,536307.65,36357,68.0,1/0/00,Personal Auto,Four-Door Car,17,M
OC83172,Oregon,F,Bachelor,825629.78,62902,69.0,1/0/00,Personal Auto,Two-Door Car,159,F
XZ87318,Oregon,F,College,538089.86,55350,67.0,1/0/00,Corporate Auto,Four-Door Car,321,F
CF85061,Arizona,M,Master,721610.03,0,101.0,1/0/00,Corporate Auto,Four-Door Car,363,M
DY87989,Oregon,M,Bachelor,2412750.4,14072,71.0,1/0/00,Corporate Auto,Four-Door Car,511,M
BQ94931,Oregon,F,College,738817.81,28812,93.0,1/0/00,Special Auto,Four-Door Car,425,F
SX51350,California,M,College,473899.2,0,67.0,1/0/00,Personal Auto,Four-Door Car,482,M
VQ65197,California,unknown,College,819719.71,0,110.0,1/0/00,Personal Auto,SUV,528,
DP39365,California,unknown,Master,879879.7,77026,110.0,1/2/00,Corporate Auto,Four-Door Car,472,
SJ95423,Arizona,unknown,High School or Below,881901.89,99845,110.0,1/1/00,Corporate Auto,SUV,528,
IL66569,California,unknown,College,538443.17,83689,70.0,1/2/00,Corporate Auto,Four-Door Car,307,
BW63560,Oregon,unknown,Bachelor,746313.94,24599,64.0,1/1/00,Corporate Auto,Four-Door Car,42,
FV94802,Nevada,unknown,High School or Below,256686.78,25049,67.0,1/0/00,Personal Auto,Two-Door Car,454,
OE15005,California,unknown,College,394524.16,28855,101.0,1/0/00,Personal Auto,SUV,647,
WC83389,Oregon,unknown,College,571033.31,51148,72.0,1/0/00,Personal Auto,Four-Door Car,308,
FL50705,California,unknown,High School or Below,816261.71,66140,101.0,1/0/00,Corporate Auto,Four-Door Car,484,
ZK25313,Oregon,unknown,High School or Below,287205.13,57749,74.0,1/0/00,Personal Auto,Two-Door Car,355,
QK46697,Washington,M,Bachelor,617710.93,61040,79.0,1/1/00,Personal Auto,Two-Door Car,20,M
YH23384,Arizona,unknown,Bachelor,2412750.4,14072,71.0,1/0/00,Personal Auto,Four-Door Car,511,
TZ98966,Nevada,unknown,Bachelor,245019.1,0,73.0,1/3/00,Corporate Auto,Four-Door Car,554,
